County,State,Round County N Imm,Origin,Origin (tooltip),County % by Origin,County N Imm,Round Total Imm Pop,Total Imm Pop
"DeKalb County, Georgia",Georgia,24500,Africa,Africa,0.010850930,24487,2256700,2256673
"DeKalb County, Georgia",Georgia,48400,Americas,Americas,0.002099360,48449,23078000,23077986
"DeKalb County, Georgia",Georgia,38800,Asia,Asia,0.002841072,38757,13641700,13641680
"DeKalb County, Georgia",Georgia,2100,Bangladesh,Bangladesh,0.008795219,2087,237300,237288
"DeKalb County, Georgia",Georgia,1300,Canada,Canada,0.001665912,1347,808600,808566
"DeKalb County, Georgia",Georgia,16600,Caribbean,Caribbean,0.003834973,16628,4335900,4335884
"DeKalb County, Georgia",Georgia,24400,Central America,Central America,0.001650571,24369,14764000,14763980
"DeKalb County, Georgia",Georgia,9000,"Central America, excluding Mexico","Central America, excl. Mexico",0.002567570,9021,3513400,3513439
"DeKalb County, Georgia",Georgia,5500,China,China,0.001974579,5479,2774800,2774768
"DeKalb County, Georgia",Georgia,4400,"China, excluding Hong Kong and Taiwan","China, excl. Hong Kong and Taiwan",0.002026919,4383,2162400,2162395
"DeKalb County, Georgia",Georgia,4600,"China, excluding Taiwan","China, excl. Taiwan",0.001941370,4647,2393700,2393670
"DeKalb County, Georgia",Georgia,1100,Colombia,Colombia,0.001499920,1142,761400,761374
"DeKalb County, Georgia",Georgia,11900,Eastern Africa,Eastern Africa,0.017529176,11875,677400,677442
"DeKalb County, Georgia",Georgia,9100,Eastern Asia,Eastern Asia,0.002175713,9094,4179800,4179779
"DeKalb County, Georgia",Georgia,2800,Eastern Europe,Eastern Europe,0.001346181,2836,2106700,2106701
"DeKalb County, Georgia",Georgia,1600,El Salvador,El Salvador,0.001146264,1583,1381000,1381008
"DeKalb County, Georgia",Georgia,1400,Eritrea,Eritrea,0.030098185,1358,45100,45119
"DeKalb County, Georgia",Georgia,7400,Ethiopia,Ethiopia,0.029462280,7359,249800,249777
"DeKalb County, Georgia",Georgia,7700,Europe,Europe,0.001626417,7748,4763800,4763845
"DeKalb County, Georgia",Georgia,1100,Germany,Germany,0.002048654,1148,560400,560368
"DeKalb County, Georgia",Georgia,4600,Guatemala,Guatemala,0.004733949,4635,979100,979098
"DeKalb County, Georgia",Georgia,1300,Guyana,Guyana,0.004843374,1313,271100,271092
"DeKalb County, Georgia",Georgia,1400,Haiti,Haiti,0.002106578,1417,672700,672655
"DeKalb County, Georgia",Georgia,1800,Honduras,Honduras,0.002827423,1841,651100,651123
"DeKalb County, Georgia",Georgia,9100,India,India,0.003549311,9093,2561900,2561906
"DeKalb County, Georgia",Georgia,9900,Jamaica,Jamaica,0.013312903,9870,741400,741386
"DeKalb County, Georgia",Georgia,2900,Korea,Korea,0.002737801,2860,1044600,1044634
"DeKalb County, Georgia",Georgia,46900,Latin America,Latin America,0.002108246,46933,22261600,22261633
"DeKalb County, Georgia",Georgia,3800,MENA: Middle East* and North Africa,MENA: Middle East* and North Africa,0.003336210,3831,1148300,1148309
"DeKalb County, Georgia",Georgia,15300,Mexico,Mexico,0.001364201,15348,11250500,11250541
"DeKalb County, Georgia",Georgia,1900,Middle Africa,Middle Africa,0.012656418,1947,153800,153835
"DeKalb County, Georgia",Georgia,2600,Myanmar (Burma),Myanmar (Burma),0.017313465,2555,147600,147573
"DeKalb County, Georgia",Georgia,1500,Nepal,Nepal,0.010950718,1543,140900,140904
"DeKalb County, Georgia",Georgia,3400,Nigeria,Nigeria,0.009652499,3381,350300,350272
"DeKalb County, Georgia",Georgia,1700,Northern Africa,Northern Africa,0.004572465,1659,362800,362824
"DeKalb County, Georgia",Georgia,1500,Northern America,Northern America,0.001857040,1516,816400,816353
"DeKalb County, Georgia",Georgia,2500,Northern Europe,Northern Europe,0.002647235,2502,945100,945137
"DeKalb County, Georgia",Georgia,8100,"Northern Triangle: El Salvador, Guatemala, Honduras","Northern Triangle: El Salvador, Guatemala, Honduras",0.002676316,8059,3011200,3011229
"DeKalb County, Georgia",Georgia,1900,Pakistan,Pakistan,0.005014264,1886,376100,376127
"DeKalb County, Georgia",Georgia,1300,Somalia,Somalia,0.013580422,1344,99000,98966
"DeKalb County, Georgia",Georgia,5900,South America,South America,0.001877430,5936,3161800,3161769
"DeKalb County, Georgia",Georgia,17300,South Central Asia,South Central Asia,0.004314116,17344,4020300,4020291
"DeKalb County, Georgia",Georgia,9200,South Eastern Asia,South Eastern Asia,0.002159264,9209,4264900,4264879
"DeKalb County, Georgia",Georgia,22800,Sub-Saharan Africa,Sub-Saharan Africa,0.012053759,22828,1893800,1893849
"DeKalb County, Georgia",Georgia,119900,(All countries),all countries,0.002724612,119914,44011400,44011407
"DeKalb County, Georgia",Georgia,1400,Trinidad and Tobago,Trinidad and Tobago,0.006064295,1395,230000,230035
"DeKalb County, Georgia",Georgia,1900,United Kingdom,the United Kingdom,0.002733993,1910,698600,698612
"DeKalb County, Georgia",Georgia,3600,Vietnam,Vietnam,0.002662702,3560,1337000,1336988
"DeKalb County, Georgia",Georgia,6900,Western Africa,Western Africa,0.008250464,6931,840100,840074
"DeKalb County, Georgia",Georgia,3100,Western Asia,Western Asia,0.002724109,3071,1127300,1127341
"DeKalb County, Georgia",Georgia,1800,Western Europe,Western Europe,0.001887477,1785,945700,945707
